amostra,Pop,dpi,In—culo,CT1_DENV,CT2_DENV,CT3_DENV,CT4_DENV,CT5_DENV,CT6_DENV,CT1_TM513,CT2_TM514,CT3_TM515,CT4_TM516,CT1_RPS17,CT2_RPS17,CT3_RPS17,CT4_RPS17
254,TET,3,10^4,Undetermined,Undetermined,,,,,38.18500137329100,,,,20.26199913024900,,,
255,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,33.18799972534180,,,,20.06299972534180,,,
256,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.78599929809570,,,
257,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.56200027465820,,,
258,TET,3,10^4,Undetermined,Undetermined,,,,,24.62400054931640,,,,20.64599990844730,,,
259,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.85700035095210,,,
260,TET,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,34.33100128173830,,,,20.24900054931640,,,
261,TET,3,10^4,Undetermined,Undetermined,,,,,32.08000183105470,,,,24.14299964904790,,,
262,TET,3,10^4,Undetermined,37.15299987792970,Undetermined,Undetermined,,,Undetermined,,,,19.49900054931640,,,
88,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.85400009155270,,,
89,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.60600090026860,,,
90,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.42900085449220,,,
91,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.33900070190430,,,
92,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.55200004577640,,,
93,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.06200027465820,,,
94,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.18600082397460,,,
95,TET,7,10^4,Undetermined,Undetermined,,,,,44.67399978637700,,,,19.71500015258790,,,
96,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,18.61599922180180,,,
97,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,20.12100028991700,,,
98,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.42799949646000,,,
99,TET,7,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.88400077819820,,,
1,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.78700065612790,,,
2,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.10600090026860,,,
3,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.67200088500980,,,
4,TET,14,10^4,Undetermined,Undetermined,,,,,Undetermined,,,,19.01099967956540,,,
263,TET,3,10^5,Undetermined,Undetermined,,,,,39.04600143432620,,,,19.92900085449220,,,
264,TET,3,10^5,Undetermined,Undetermined,,,,,41.36299896240230,,,,20.82399940490720,,,
265,TET,3,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,20.09499931335450,,,
100,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,18.29299926757810,,,
101,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.12700080871580,,,
102,TET,7,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.44799995422360,,,
5,TET,14,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.06500053405760,,,
6,TET,14,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,18.84199905395510,,,
7,TET,14,10^5,Undetermined,Undetermined,,,,,Undetermined,,,,19.48399925231930,,,
266,TET,3,10^6,Undetermined,38.67499923706050,,,,,40.36899948120120,,,,20.34399986267090,,,
267,TET,3,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.91300010681150,,,
268,TET,3,10^6,Undetermined,Undetermined,,,,,41.63199996948240,,,,21.32799911499020,,,
269,TET,3,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,20.89699935913090,,,
270,TET,3,10^6,Undetermined,Undetermined,,,,,41.22399902343750,,,,20.66900062561030,,,
271,TET,3,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.56599998474120,,,
272,TET,3,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,22.43899917602540,,,
273,TET,3,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.87199974060060,,,
103,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.57900047302250,,,
104,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.03100013732910,,,
105,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,18.88299942016600,,,
106,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.42099952697750,,,
107,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.32699966430660,,,
108,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.20299911499020,,,
109,TET,7,10^6,Undetermined,39.15100097656250,Undetermined,,,,Undetermined,,,,19.32799911499020,,,
110,TET,7,10^6,,,,,,,Undetermined,,,,18.98800086975100,,,
111,TET,7,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.01000022888180,,,
8,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,18.61899948120120,,,
9,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.70400047302250,,,
10,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.53199958801270,,,
11,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.07399940490720,,,
12,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,18.56599998474120,,,
13,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,18.56100082397460,,,
14,TET,14,10^6,Undetermined,Undetermined,,,,,Undetermined,,,,19.18199920654300,,,
274,TET,3,10^7,Undetermined,37.56000137329100,,,,,40.99700164794920,,,,21.30900001525880,,,
275,TET,3,10^7,Undetermined,37.75000000000000,,,,,40.45399856567380,,,,20.05800056457520,,,
276,TET,3,10^7,36.52099990844730,37.33499908447270,,,,,Undetermined,,,,20.00799942016600,,,
277,TET,3,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,20.19400024414060,,,
278,TET,3,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,19.69400024414060,,,
279,TET,3,10^7,Undetermined,Undetermined,,,,,41.72900009155270,,,,20.26799964904780,,,
280,TET,3,10^7,Undetermined,38.73500061035160,,,,,Undetermined,,,,20.01000022888180,,,
281,TET,3,10^7,36.98500061035160,Undetermined,,,,,Undetermined,,,,19.91900062561040,,,
282,TET,3,10^7,38.61199951171870,38.49900054931640,,,,,39.87300109863280,,,,20.39399909973140,,,
283,TET,3,10^7,33.79199981689450,33.59400177001950,,,,,41.68999862670900,,,,20.62100028991700,,,
284,TET,3,10^7,38.78699874877930,Undetermined,,,,,41.62300109863280,,,,19.79899978637700,,,
285,TET,3,10^7,Undetermined,Undetermined,,,,,38.23600006103520,,,,19.39599990844730,,,
112,TET,7,10^7,38.23600006103520,Undetermined,,,,,Undetermined,,,,18.93300056457520,,,
113,TET,7,10^7,38.39599990844730,Undetermined,Undetermined,Undetermined,,,Undetermined,,,,19.01300048828130,,,
114,TET,7,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,17.78899955749510,,,
115,TET,7,10^7,Undetermined,38.87400054931640,,,,,14.51399993896480,,,,18.54999923706050,,,
116,TET,7,10^7,38.98600006103520,Undetermined,,,,,Undetermined,,,,18.04599952697750,,,
117,TET,7,10^7,23.18499946594240,23.27899932861330,,,,,Undetermined,,,,18.43099975585940,,,
118,TET,7,10^7,39.18000030517580,Undetermined,,,,,Undetermined,,,,17.83099937438960,,,
119,TET,7,10^7,23.90900039672850,23.94000053405760,,,,,Undetermined,,,,18.51899909973140,,,
120,TET,7,10^7,Undetermined,37.75799942016600,,,,,14.41199970245360,,,,18.24699974060060,,,
121,TET,7,10^7,40.70800018310550,38.70299911499020,,,,,Undetermined,,,,23.31399917602540,,,
15,TET,14,10^7,Undetermined,Undetermined,,,,,15.05300045013430,,,,18.50399971008300,,,
16,TET,14,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,19.59099960327150,,,
17,TET,14,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,18.97400093078610,,,
18,TET,14,10^7,38.58900070190430,Undetermined,,,,,Undetermined,,,,19.26600074768070,,,
19,TET,14,10^7,Undetermined,38.90100097656250,,,,,Undetermined,,,,19.07299995422360,,,
20,TET,14,10^7,Undetermined,Undetermined,,,,,Undetermined,,,,19.36400032043460,,,
286,TET,3,10^8,33.07699966430660,32.77799987792970,,,,,Undetermined,,,,19.62000083923340,,,
287,TET,3,10^8,Undetermined,Undetermined,,,,,35.64899826049800,,,,20.35799980163570,,,
288,TET,3,10^8,32.99700164794920,33.06100082397460,,,,,10.02299976348880,,,,19.28300094604490,,,
289,TET,3,10^8,36.71400070190430,36.36100006103520,,,,,36.38499832153320,,,,23.50900077819820,,,
290,TET,3,10^8,36.21599960327150,36.84600067138670,,,,,41.89199829101560,,,,27.60099983215330,,,
291,TET,3,10^8,33.21400070190430,32.76100158691410,,,,,34.96599960327150,,,,19.60700035095210,,,
292,TET,3,10^8,33.52899932861330,33.16999816894530,,,,,35.90800094604490,,,,19.47800064086910,,,
293,TET,3,10^8,32.90700149536130,33.20600128173830,,,,,34.23799896240230,,,,19.43700027465820,,,
122,TET,7,10^8,22.88899993896480,23.17799949646000,,,,,Undetermined,,,,19.55800056457520,,,
123,TET,7,10^8,24.98100090026860,24.94899940490720,Undetermined,,,,Undetermined,,,,18.68199920654300,,,
124,TET,7,10^8,22.90200042724610,22.87899971008300,Undetermined,,,,Undetermined,,,,18.05400085449220,,,
125,TET,7,10^8,24.31399917602540,24.35499954223630,Undetermined,,,,41.82600021362310,,,,18.47100067138670,,,
126,TET,7,10^8,22.68400001525880,22.70000076293950,Undetermined,,,,Undetermined,,,,17.82900047302250,,,
127,TET,7,10^8,23.24900054931640,23.19700050354000,Undetermined,,,,Undetermined,,,,18.79000091552730,,,
128,TET,7,10^8,37.60400009155270,37.19800186157230,Undetermined,,,,Undetermined,,,,20.98800086975100,,,
129,TET,7,10^8,35.92499923706050,34.49300003051760,Undetermined,,,,Undetermined,,,,21.36300086975100,,,
130,TET,7,10^8,24.44400024414060,24.55800056457520,Undetermined,,,,Undetermined,,,,18.32999992370610,,,
21,TET,14,10^8,20.94199943542480,21.29999923706050,,,,,Undetermined,,,,19.73800086975100,,,
22,TET,14,10^8,20.68400001525880,20.92300033569340,,,,,Undetermined,,,,19.31399917602540,,,
23,TET,14,10^8,21.50900077819820,21.85700035095210,,,,,Undetermined,,,,19.00000000000000,,,
24,TET,14,10^8,19.58600044250490,19.85199928283690,,,,,17.27099990844730,,,,18.41900062561040,,,
25,TET,14,10^8,21.19700050354000,21.03800010681150,,,,,Undetermined,,,,18.25300025939940,,,
26,TET,14,10^8,20.17099952697750,20.37700080871580,,,,,Undetermined,Undetermined,,,19.24799919128420,19.06800079345700,,
27,TET,14,10^8,20.26099967956540,20.27599906921390,20.12800025939940,20.39399909973140,,,Undetermined,Undetermined,Undetermined,,19.13800048828130,19.78199958801270,,
28,TET,14,10^8,20.81200027465820,20.81599998474120,,,,,Undetermined,Undetermined,,,18.56900024414060,18.63899993896480,,
29,TET,14,10^8,37.35400009155270,36.58399963378910,,,,,Undetermined,,,,18.17000007629390,19.14699935913090,,
30,TET,14,10^8,19.01399993896480,18.91399955749510,,,,,23.58200073242190,,,,18.46899986267090,,,
31,TET,14,10^8,36.76499938964840,37.71699905395510,,,,,Undetermined,,,,18.77099990844730,,,
32,TET,14,10^8,36.20399856567380,35.06399917602540,,,,,Undetermined,,,,18.93099975585940,,,
33,TET,14,10^8,20.18899917602540,20.04299926757810,,,,,Undetermined,,,,18.88100051879880,,,
34,TET,14,10^8,19.06900024414060,19.32099914550780,,,,,Undetermined,,,,18.93799972534180,,,
294,TET,3,CTRL,Undetermined,Undetermined,Undetermined,Undetermined,,,35.72900009155270,35.95800018310550,,,20.39900016784670,20.33499908447270,,
295,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.85099983215330,,,
296,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.21699905395510,,,
297,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,18.81200027465820,,,
298,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.97599983215330,,,
299,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.19499969482420,,,
300,TET,3,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,19.62599945068360,,,
301,TET,3,CTRL,Undetermined,Undetermined,Undetermined,Undetermined,,,Undetermined,Undetermined,,,19.97200012207030,23.58499908447270,,
131,TET,7,CTRL,Undetermined,Undetermined,,,,,39.29399871826170,,,,19.04999923706050,,,
36,TET,14,CTRL,Undetermined,Undetermined,Undetermined,38.44699859619140,,,Undetermined,Undetermined,,,18.64900016784670,18.70899963378910,18.63100051879880,17.24300003051760
37,TET,14,CTRL,Undetermined,Undetermined,,,,,Undetermined,,,,18.64599990844730,,,
38,TET,14,CTRL,Undetermined,Undetermined,Undetermined,Undetermined,38.83800125122070,Undetermined,Undetermined,,,,19.26499938964840,,,
189,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.30400085449220,,,,18.46299934387210,,,
190,wMEL,3,10^4,Undetermined,Undetermined,Undetermined,Undetermined,,,18.21599960327150,,,,16.97500038146970,,,
191,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.15699958801270,,,,18.40800094604490,,,
192,wMEL,3,10^4,Undetermined,Undetermined,,,,,17.79800033569340,,,,18.18300056457520,,,
193,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.70299911499020,,,,19.07299995422360,,,
194,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.62199974060060,,,,18.97599983215330,,,
195,wMEL,3,10^4,Undetermined,Undetermined,,,,,17.88599967956540,,,,18.54599952697750,,,
196,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.29999923706050,,,,18.56200027465820,,,
197,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.65800094604490,,,,18.62800025939940,,,
198,wMEL,3,10^4,Undetermined,Undetermined,,,,,18.80500030517580,,,,18.90900039672850,,,
252,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.28400039672850,,,,19.74200057983400,,,
253,wMEL,3,10^4,Undetermined,Undetermined,,,,,19.92799949646000,,,,19.76799964904790,,,
132,wMEL,7,10^4,Undetermined,,,,,,19.34499931335450,,,,18.56399917602540,,,
133,wMEL,7,10^4,Undetermined,,,,,,19.19700050354000,,,,17.87999916076660,,,
134,wMEL,7,10^4,Undetermined,,,,,,19.02799987792970,,,,18.37899971008300,,,
135,wMEL,7,10^4,Undetermined,,,,,,19.62700080871580,,,,18.32699966430660,,,
136,wMEL,7,10^4,Undetermined,Undetermined,,,,,18.84499931335450,,,,18.23200035095210,,,
137,wMEL,7,10^4,Undetermined,Undetermined,,,,,20.01499938964840,,,,18.89599990844730,,,
39,wMEL,14,10^4,Undetermined,37.78400039672850,,,,,18.05900001525880,18.91399955749510,,,18.86599922180180,18.88699913024900,,
40,wMEL,14,10^4,Undetermined,Undetermined,,,,,17.92000007629390,18.33399963378910,,,18.64200019836430,18.61899948120120,,
41,wMEL,14,10^4,Undetermined,Undetermined,,,,,18.27099990844730,,,,18.99500083923340,,,
